community_url,label_old,member_count,Id,type,label_2,label,label_edited_count
acoustic-neuroma-support,Acoustic Neuroma Support,940.0,acoustic-neuroma-support_co-occurrence,community,Acoustic Neuroma Support (940),Acoustic Neuroma,Acoustic Neuroma (940)
osteoporosis-support,Osteoporosis Support,902.0,osteoporosis-support_co-occurrence,community,Osteoporosis Support (902),Osteoporosis,Osteoporosis (902)
leukaemia-support,Leukaemia Support,808.0,leukaemia-support_co-occurrence,community,Leukaemia Support (808),Leukaemia,Leukaemia (808)
changingfaces,Changing Faces,760.0,changingfaces_co-occurrence,community,Changing Faces (760),Changing Faces,Changing Faces (760)
hivpartners,HIV Partners,759.0,hivpartners_co-occurrence,community,HIV Partners (759),HIV Partners,HIV Partners (759)
sca-heart-attack,Sudden Cardiac Arrest & Heart Attack,758.0,sca-heart-attack_co-occurrence,community,Sudden Cardiac Arrest & Heart Attack (758),Sudden Cardiac Arrest & Heart Attack,Sudden Cardiac Arrest & Heart Attack (758)
livingwithasthma,Living with Asthma,751.0,livingwithasthma_co-occurrence,community,Living with Asthma (751),Living with Asthma,Living with Asthma (751)
drink-free,Drink Free,685.0,drink-free_co-occurrence,community,Drink Free (685),Drink Free,Drink Free (685)
tourettes-action,Tourettes Action,680.0,tourettes-action_co-occurrence,community,Tourettes Action (680),Tourettes,Tourettes (680)
cmtuk,Charcot-Marie-Tooth UK,667.0,cmtuk_co-occurrence,community,Charcot-Marie-Tooth UK (667),Charcot-Marie-Tooth UK,Charcot-Marie-Tooth UK (667)
opa-gord,Acid Reflux Support,659.0,opa-gord_co-occurrence,community,Acid Reflux Support (659),Acid Reflux,Acid Reflux (659)
fasd-support,FASD Support,636.0,fasd-support_co-occurrence,community,FASD Support (636),Foetal Alcohol Spectrum Disorders (FASD),Foetal Alcohol Spectrum Disorders (FASD) (636)
fungalinfectiontrust,Aspergillosis and Rare Fungal Infection Support,561.0,fungalinfectiontrust_co-occurrence,community,Aspergillosis and Rare Fungal Infection Support (561),Aspergillosis and Rare Fungal Infection,Aspergillosis and Rare Fungal Infection (561)
oa-action,Osteoarthritis Action,561.0,oa-action_co-occurrence,community,Osteoarthritis Action (561),Osteoarthritis,Osteoarthritis (561)
