Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,label_old,member_count,label_edited_count
nkf-parents_co-occurrence,community,Parents of Children with Kidney Disease,,,Parents of Children with Kidney Disease (233),40,0.0,nkf-parents,Parents of Children with Kidney Disease,233.0,Parents of Children with Kidney Disease (233)
livingwellwithhiv_co-occurrence,community,Living Well with HIV,,,Living Well with HIV (233),40,-1.0,livingwellwithhiv,Living Well with HIV,233.0,Living Well with HIV (233)
glioblastoma-support_co-occurrence,community,Glioblastoma,,,Glioblastoma Support (216),40,-2.0,glioblastoma-support,Glioblastoma Support,216.0,Glioblastoma (216)
blog_co-occurrence,community,HealthUnlocked Blog,,,HealthUnlocked Blog (205),40,-3.0,blog,HealthUnlocked Blog,205.0,HealthUnlocked Blog (205)
sjogrens-support_co-occurrence,community,Sjogren's Syndrome (Autoimmune),,,Sjogren's Support (200),40,-4.0,sjogrens-support,Sjogren's Support,200.0,Sjogren's Syndrome (Autoimmune) (200)
bws-support_co-occurrence,community,Beckwith-Wiedemann Syndrome (BWS) (Genetic),,,BWS Support (198),40,-5.0,bws-support,BWS Support,198.0,Beckwith-Wiedemann Syndrome (BWS) (Genetic) (198)
deafplus_co-occurrence,community,deafPLUS,,,deafPLUS (197),40,-6.0,deafplus,deafPLUS,197.0,deafPLUS (197)
dystoniasociety_co-occurrence,community,Dystonia,,,Dystonia Society (195),40,-7.0,dystoniasociety,Dystonia Society,195.0,Dystonia (195)
fertility-road_co-occurrence,community,Fertility Road Mind  & Body & Wellbeing,,,"Fertility Road Mind, Body & Wellbeing (191)",40,-8.0,fertility-road,"Fertility Road Mind, Body & Wellbeing",191.0,Fertility Road Mind  & Body & Wellbeing (191)
adenomyosisadviceassociation_co-occurrence,community,Adenomyosis Advice Association,,,Adenomyosis Advice Association (162),40,-9.0,adenomyosisadviceassociation,Adenomyosis Advice Association,162.0,Adenomyosis Advice Association (162)
