community_url,community_name,member_count,Id
hep-c-support,Hepatitis C Support,359.0,hep-c-support_co-occurrence
arrhythmia-alliance-svt,Supraventricular Tachycardia Support,329.0,arrhythmia-alliance-svt_co-occurrence
alopeciauk,Alopecia UK,312.0,alopeciauk_co-occurrence
diabetes-support,Diabetes Support,310.0,diabetes-support_co-occurrence
liver4life,Liver,308.0,liver4life_co-occurrence
pcdsupport,PCD Family Support Group (UK),302.0,pcdsupport_co-occurrence
graves-disease-support,Graves Disease Support,296.0,graves-disease-support_co-occurrence
pbcers,PBCers Organization,294.0,pbcers_co-occurrence
dentistry-health-support,Dentistry Health Support,279.0,dentistry-health-support_co-occurrence
fight-mpn,Fight MPN,269.0,fight-mpn_co-occurrence
colostomy-care,Living with a Stoma,266.0,colostomy-care_co-occurrence
efa,EFA,264.0,efa_co-occurrence
pkdcharity-autosomaldominant,PKD Charity for Autosomal Dominant PKD,263.0,pkdcharity-autosomaldominant_co-occurrence
ukmasto,The UK Mastocytosis Support Group,255.0,ukmasto_co-occurrence
meningioma-support,Meningioma Support,236.0,meningioma-support_co-occurrence
nkf-parents,Parents of Children with Kidney Disease,233.0,nkf-parents_co-occurrence
livingwellwithhiv,Living Well with HIV,233.0,livingwellwithhiv_co-occurrence
glioblastoma-support,Glioblastoma Support,216.0,glioblastoma-support_co-occurrence
blog,HealthUnlocked Blog,205.0,blog_co-occurrence
sjogrens-support,Sjogren's Support,200.0,sjogrens-support_co-occurrence
bws-support,BWS Support,198.0,bws-support_co-occurrence
deafplus,deafPLUS,197.0,deafplus_co-occurrence
dystoniasociety,Dystonia Society,195.0,dystoniasociety_co-occurrence
fertility-road,"Fertility Road Mind, Body & Wellbeing",191.0,fertility-road_co-occurrence
adenomyosisadviceassociation,Adenomyosis Advice Association,162.0,adenomyosisadviceassociation_co-occurrence
epilepsysociety,Epilepsy Society,150.0,epilepsysociety_co-occurrence
heart-valve-voice,Heart Valve Voice,148.0,heart-valve-voice_co-occurrence
haemochromatosis-uk,Haemochromatosis Society UK,140.0,haemochromatosis-uk_co-occurrence
hearinglink,Hearing Link,137.0,hearinglink_co-occurrence
quit4life,Quit,133.0,quit4life_co-occurrence
the-endometriosis-foundation,The Endometriosis Foundation,131.0,the-endometriosis-foundation_co-occurrence
youngadultswithmelanoma,Young Adults with Melanoma,127.0,youngadultswithmelanoma_co-occurrence
sclc-go2,Small Cell Lung Cancer Support,123.0,sclc-go2_co-occurrence
cavernoma-uk,Cavernoma Alliance UK,119.0,cavernoma-uk_co-occurrence
allergic-to-glycols,Allergic to Glycols,117.0,allergic-to-glycols_co-occurrence
adult-acne-support,Adult Acne Support,111.0,adult-acne-support_co-occurrence
fpa-contraception,FPA Contraception,111.0,fpa-contraception_co-occurrence
sicklecelldisease,Living with Sickle Cell Disease,108.0,sicklecelldisease_co-occurrence
fierybones-ra,FieryBones - RA Community,106.0,fierybones-ra_co-occurrence
mga,Myasthenia Gravis Association,95.0,mga_co-occurrence
c3g,C,95.0,c3g_co-occurrence
pagets-support,Paget’s Support,90.0,pagets-support_co-occurrence
living-with-lyme-disease-uk,Living with Lyme Disease UK,73.0,living-with-lyme-disease-uk_co-occurrence
endometriosis-nz,Endometriosis New Zealand,69.0,endometriosis-nz_co-occurrence
chronic-myofascial-pain,Chronic Myofascial Pain,53.0,chronic-myofascial-pain_co-occurrence
living-with-ild,Living with Interstitial Lung Disease (ILD),49.0,living-with-ild_co-occurrence
myelomauk,Myeloma UK,47.0,myelomauk_co-occurrence
mamafit,Mamafit,44.0,mamafit_co-occurrence
partnersforbehcets,Partners for Behcet's,43.0,partnersforbehcets_co-occurrence
downs-support,Down's Syndrome Support,43.0,downs-support_co-occurrence
cancer-journeys-foundation,Cancer Journeys Foundation,42.0,cancer-journeys-foundation_co-occurrence
livernorth,LIVErNORTH,41.0,livernorth_co-occurrence
mydirectives,MyDirectives: Make your medical wishes known!,40.0,mydirectives_co-occurrence
pseudomyxoma-survivor,Pseudomyxoma Survivor,40.0,pseudomyxoma-survivor_co-occurrence
cookforyourlife,Cook For Your Life,29.0,cookforyourlife_co-occurrence
demo-community,Demo Community,27.0,demo-community_co-occurrence
dc-action,DC Action,21.0,dc-action_co-occurrence
apma,Australian Pain Management Association,20.0,apma_co-occurrence
crohnscolitis,Crohn's & Colitis,6.0,crohnscolitis_co-occurrence
barretts-oesophagus,Barrett's Oesophagus,5.0,barretts-oesophagus_co-occurrence
