community_url,community_name,member_count,Id
sjogrens-aus,The Australian Sjögren's Syndrome Association,788,sjogrens-aus_co-occurrence
worldaccordingtolupus,World According to Lupus,40,worldaccordingtolupus_co-occurrence
swhr,Society for Women's Health Research,17,swhr_co-occurrence
lymphomaca,Lymphoma Canada,126,lymphomaca_co-occurrence
standup2oa,Stand Up,N7A,standup2oa_co-occurrence
cancersupportscotland,Cancer Support Scotland,15,cancersupportscotland_co-occurrence
facialpalsyuk,Facial Palsy UK,348,facialpalsyuk_co-occurrence
livingpositively,Living Positively with Cerebral Palsy,221,livingpositively_co-occurrence
ms-society,MS Society,98,ms-society_co-occurrence
unsaltedheart,Unsalted Heart,28,unsaltedheart_co-occurrence
opa-palliative-care,OPA Palliative Care & Guidance,N7A,opa-palliative-care_co-occurrence
pacemakerusers,PACEMAKERusers,14,pacemakerusers_co-occurrence
breastcancerindia,Breast Cancer India,1470,breastcancerindia_co-occurrence
healthyhappywoman,Healthy Happy Woman,592,healthyhappywoman_co-occurrence
kidneys-nz,Kidney Health New Zealand,103,kidneys-nz_co-occurrence
stthomaslupustrust,St Thomas Lupus Trust,127,stthomaslupustrust_co-occurrence
american-cancer-survivors,American Cancer Survivors,72,american-cancer-survivors_co-occurrence
actionradiotherapy,Radiotherapy Cancer Treatment,16,actionradiotherapy_co-occurrence
lupusflorida,Lupus Foundation of Florida,44,lupusflorida_co-occurrence
nkf-living-donation,Finding a Living Donor: From Home,9,nkf-living-donation_co-occurrence
opacaregivers,OPA Caregivers,15,opacaregivers_co-occurrence
leukodystrophy-support,Leukodystrophy Support,N7A,leukodystrophy-support_co-occurrence
wombcancersupportuk,Womb Cancer Support UK,35,wombcancersupportuk_co-occurrence
melanoma-canada,Melanoma Wellness Canada,73,melanoma-canada_co-occurrence
myeloma-america-support,Myeloma America Support,319,myeloma-america-support_co-occurrence
