community_url,community_name,member_count,Id
cancer-journeys-foundation,Cancer Journeys Foundation,42,cancer-journeys-foundation_co-occurrence
deafplus,deafPLUS,197,deafplus_co-occurrence
c3g,C,95,c3g_co-occurrence
colostomy-care,Living with a Stoma,266,colostomy-care_co-occurrence
efa,EFA,264,efa_co-occurrence
cookforyourlife,Cook For Your Life,29,cookforyourlife_co-occurrence
fierybones-ra,FieryBones - RA Community,106,fierybones-ra_co-occurrence
downs-support,Down's Syndrome Support,43,downs-support_co-occurrence
hepatitisfoundation,HFI Connect - Hepatitis,1215,hepatitisfoundation_co-occurrence
hep-c-support,Hepatitis C Support,359,hep-c-support_co-occurrence
fightbladdercancer,Fight Bladder Cancer,360,fightbladdercancer_co-occurrence
adenomyosisadviceassociation,Adenomyosis Advice Association,162,adenomyosisadviceassociation_co-occurrence
pseudomyxoma-survivor,Pseudomyxoma Survivor,40,pseudomyxoma-survivor_co-occurrence
mamafit,Mamafit,44,mamafit_co-occurrence
hep-c-trust,Hepatitis C Trust,468,hep-c-trust_co-occurrence
childrenwithcerebralpalsy,Children With Cerebral Palsy,N7A,childrenwithcerebralpalsy_co-occurrence
quit4life,Quit,133,quit4life_co-occurrence
cavernoma-uk,Cavernoma Alliance UK,119,cavernoma-uk_co-occurrence
pcdsupport,PCD Family Support Group (UK),302,pcdsupport_co-occurrence
fpa-contraception,FPA Contraception,111,fpa-contraception_co-occurrence
barretts-oesophagus,Barrett's Oesophagus,5,barretts-oesophagus_co-occurrence
partnersforbehcets,Partners for Behcet's,43,partnersforbehcets_co-occurrence
