Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,member_count
acoustic-neuroma-support_co-occurrence,community,Acoustic Neuroma Support,,,Acoustic Neuroma Support (940),-50,-183.76470588235296,acoustic-neuroma-support,940.0
osteoporosis-support_co-occurrence,community,Osteoporosis Support,,,Osteoporosis Support (902),-50,-186.3529411764706,osteoporosis-support,902.0
leukaemia-support_co-occurrence,community,Leukaemia Support,,,Leukaemia Support (808),-50,-188.94117647058823,leukaemia-support,808.0
changingfaces_co-occurrence,community,Changing Faces,,,Changing Faces (760),-50,-191.52941176470588,changingfaces,760.0
hivpartners_co-occurrence,community,HIV Partners,,,HIV Partners (759),-50,-194.11764705882356,hivpartners,759.0
sca-heart-attack_co-occurrence,community,Sudden Cardiac Arrest & Heart Attack,,,Sudden Cardiac Arrest & Heart Attack (758),-50,-196.7058823529412,sca-heart-attack,758.0
livingwithasthma_co-occurrence,community,Living with Asthma,,,Living with Asthma (751),-50,-199.29411764705884,livingwithasthma,751.0
drink-free_co-occurrence,community,Drink Free,,,Drink Free (685),-50,-201.8823529411765,drink-free,685.0
tourettes-action_co-occurrence,community,Tourettes Action,,,Tourettes Action (680),-50,-204.4705882352941,tourettes-action,680.0
cmtuk_co-occurrence,community,Charcot-Marie-Tooth UK,,,Charcot-Marie-Tooth UK (667),-50,-207.05882352941177,cmtuk,667.0
opa-gord_co-occurrence,community,Acid Reflux Support,,,Acid Reflux Support (659),-50,-209.64705882352945,opa-gord,659.0
fasd-support_co-occurrence,community,FASD Support,,,FASD Support (636),-50,-212.23529411764707,fasd-support,636.0
fungalinfectiontrust_co-occurrence,community,Aspergillosis and Rare Fungal Infection Support,,,Aspergillosis and Rare Fungal Infection Support (561),-50,-214.82352941176472,fungalinfectiontrust,561.0
oa-action_co-occurrence,community,Osteoarthritis Action,,,Osteoarthritis Action (561),-50,-217.4117647058824,oa-action,561.0
menopause-perimenopause-support_co-occurrence,community,Menopause and Perimenopause Support,,,Menopause and Perimenopause Support (554),-50,-220.0,menopause-perimenopause-support,554.0
myositisuk_co-occurrence,community,Myositis UK,,,Myositis UK (543),50,0.0,myositisuk,543.0
sicklecellsociety_co-occurrence,community,Sickle Cell Society,,,Sickle Cell Society (521),50,-2.619047619047619,sicklecellsociety,521.0
dialysis-support_co-occurrence,community,Dialysis Support,,,Dialysis Support (516),50,-5.238095238095238,dialysis-support,516.0
erectile-dysfunction-support_co-occurrence,community,Erectile Dysfunction Support,,,Erectile Dysfunction Support (508),50,-7.857142857142858,erectile-dysfunction-support,508.0
