Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,member_count
continencesupport_co-occurrence,community,Continence Support,,,Continence Support (365),30,20,continencesupport,365.0
pancreatitis-support_co-occurrence,community,Chronic Pancreatitis Support,,,Chronic Pancreatitis Support (362),30,19,pancreatitis-support,362.0
fightbladdercancer_co-occurrence,community,Fight Bladder Cancer,,,Fight Bladder Cancer (360),30,18,fightbladdercancer,360.0
hep-c-support_co-occurrence,community,Hepatitis C Support,,,Hepatitis C Support (359),30,17,hep-c-support,359.0
arrhythmia-alliance-svt_co-occurrence,community,Supraventricular Tachycardia Support,,,Supraventricular Tachycardia Support (329),30,16,arrhythmia-alliance-svt,329.0
alopeciauk_co-occurrence,community,Alopecia UK,,,Alopecia UK (312),30,15,alopeciauk,312.0
diabetes-support_co-occurrence,community,Diabetes Support,,,Diabetes Support (310),30,14,diabetes-support,310.0
liver4life_co-occurrence,community,Liver,,,Liver (308),30,13,liver4life,308.0
pcdsupport_co-occurrence,community,PCD Family Support Group (UK),,,PCD Family Support Group (UK) (302),30,12,pcdsupport,302.0
graves-disease-support_co-occurrence,community,Graves Disease Support,,,Graves Disease Support (296),30,11,graves-disease-support,296.0
pbcers_co-occurrence,community,PBCers Organization,,,PBCers Organization (294),30,10,pbcers,294.0
dentistry-health-support_co-occurrence,community,Dentistry Health Support,,,Dentistry Health Support (279),30,9,dentistry-health-support,279.0
fight-mpn_co-occurrence,community,Fight MPN,,,Fight MPN (269),30,8,fight-mpn,269.0
colostomy-care_co-occurrence,community,Living with a Stoma,,,Living with a Stoma (266),30,7,colostomy-care,266.0
efa_co-occurrence,community,EFA,,,EFA (264),30,6,efa,264.0
pkdcharity-autosomaldominant_co-occurrence,community,PKD Charity for Autosomal Dominant PKD,,,PKD Charity for Autosomal Dominant PKD (263),30,5,pkdcharity-autosomaldominant,263.0
ukmasto_co-occurrence,community,The UK Mastocytosis Support Group,,,The UK Mastocytosis Support Group (255),30,4,ukmasto,255.0
meningioma-support_co-occurrence,community,Meningioma Support,,,Meningioma Support (236),30,3,meningioma-support,236.0
nkf-parents_co-occurrence,community,Parents of Children with Kidney Disease,,,Parents of Children with Kidney Disease (233),30,2,nkf-parents,233.0
livingwellwithhiv_co-occurrence,community,Living Well with HIV,,,Living Well with HIV (233),30,1,livingwellwithhiv,233.0
glioblastoma-support_co-occurrence,community,Glioblastoma Support,,,Glioblastoma Support (216),30,0,glioblastoma-support,216.0
blog_co-occurrence,community,HealthUnlocked Blog,,,HealthUnlocked Blog (205),30,-1,blog,205.0
sjogrens-support_co-occurrence,community,Sjogren's Support,,,Sjogren's Support (200),30,-2,sjogrens-support,200.0
bws-support_co-occurrence,community,BWS Support,,,BWS Support (198),30,-3,bws-support,198.0
deafplus_co-occurrence,community,deafPLUS,,,deafPLUS (197),30,-4,deafplus,197.0
dystoniasociety_co-occurrence,community,Dystonia Society,,,Dystonia Society (195),30,-5,dystoniasociety,195.0
fertility-road_co-occurrence,community,"Fertility Road Mind, Body & Wellbeing",,,"Fertility Road Mind, Body & Wellbeing (191)",30,-6,fertility-road,191.0
adenomyosisadviceassociation_co-occurrence,community,Adenomyosis Advice Association,,,Adenomyosis Advice Association (162),30,-7,adenomyosisadviceassociation,162.0
epilepsysociety_co-occurrence,community,Epilepsy Society,,,Epilepsy Society (150),30,-8,epilepsysociety,150.0
heart-valve-voice_co-occurrence,community,Heart Valve Voice,,,Heart Valve Voice (148),30,-9,heart-valve-voice,148.0
haemochromatosis-uk_co-occurrence,community,Haemochromatosis Society UK,,,Haemochromatosis Society UK (140),30,-10,haemochromatosis-uk,140.0
hearinglink_co-occurrence,community,Hearing Link,,,Hearing Link (137),30,-11,hearinglink,137.0
quit4life_co-occurrence,community,Quit,,,Quit (133),30,-12,quit4life,133.0
the-endometriosis-foundation_co-occurrence,community,The Endometriosis Foundation,,,The Endometriosis Foundation (131),30,-13,the-endometriosis-foundation,131.0
youngadultswithmelanoma_co-occurrence,community,Young Adults with Melanoma,,,Young Adults with Melanoma (127),30,-14,youngadultswithmelanoma,127.0
sclc-go2_co-occurrence,community,Small Cell Lung Cancer Support,,,Small Cell Lung Cancer Support (123),30,-15,sclc-go2,123.0
cavernoma-uk_co-occurrence,community,Cavernoma Alliance UK,,,Cavernoma Alliance UK (119),30,-16,cavernoma-uk,119.0
allergic-to-glycols_co-occurrence,community,Allergic to Glycols,,,Allergic to Glycols (117),30,-17,allergic-to-glycols,117.0
adult-acne-support_co-occurrence,community,Adult Acne Support,,,Adult Acne Support (111),30,-18,adult-acne-support,111.0
fpa-contraception_co-occurrence,community,FPA Contraception,,,FPA Contraception (111),30,-19,fpa-contraception,111.0
sicklecelldisease_co-occurrence,community,Living with Sickle Cell Disease,,,Living with Sickle Cell Disease (108),30,-20,sicklecelldisease,108.0
fierybones-ra_co-occurrence,community,FieryBones - RA Community,,,FieryBones - RA Community (106),30,-21,fierybones-ra,106.0
mga_co-occurrence,community,Myasthenia Gravis Association,,,Myasthenia Gravis Association (95),30,-22,mga,95.0
c3g_co-occurrence,community,C,,,C (95),30,-23,c3g,95.0
pagets-support_co-occurrence,community,Paget’s Support,,,Paget’s Support (90),30,-24,pagets-support,90.0
living-with-lyme-disease-uk_co-occurrence,community,Living with Lyme Disease UK,,,Living with Lyme Disease UK (73),30,-25,living-with-lyme-disease-uk,73.0
endometriosis-nz_co-occurrence,community,Endometriosis New Zealand,,,Endometriosis New Zealand (69),30,-26,endometriosis-nz,69.0
chronic-myofascial-pain_co-occurrence,community,Chronic Myofascial Pain,,,Chronic Myofascial Pain (53),30,-27,chronic-myofascial-pain,53.0
living-with-ild_co-occurrence,community,Living with Interstitial Lung Disease (ILD),,,Living with Interstitial Lung Disease (ILD) (49),30,-28,living-with-ild,49.0
myelomauk_co-occurrence,community,Myeloma UK,,,Myeloma UK (47),30,-29,myelomauk,47.0
mamafit_co-occurrence,community,Mamafit,,,Mamafit (44),30,-30,mamafit,44.0
partnersforbehcets_co-occurrence,community,Partners for Behcet's,,,Partners for Behcet's (43),30,-31,partnersforbehcets,43.0
downs-support_co-occurrence,community,Down's Syndrome Support,,,Down's Syndrome Support (43),30,-32,downs-support,43.0
cancer-journeys-foundation_co-occurrence,community,Cancer Journeys Foundation,,,Cancer Journeys Foundation (42),30,-33,cancer-journeys-foundation,42.0
livernorth_co-occurrence,community,LIVErNORTH,,,LIVErNORTH (41),30,-34,livernorth,41.0
mydirectives_co-occurrence,community,MyDirectives: Make your medical wishes known!,,,MyDirectives: Make your medical wishes known! (40),30,-35,mydirectives,40.0
pseudomyxoma-survivor_co-occurrence,community,Pseudomyxoma Survivor,,,Pseudomyxoma Survivor (40),30,-36,pseudomyxoma-survivor,40.0
cookforyourlife_co-occurrence,community,Cook For Your Life,,,Cook For Your Life (29),30,-37,cookforyourlife,29.0
demo-community_co-occurrence,community,Demo Community,,,Demo Community (27),30,-38,demo-community,27.0
dc-action_co-occurrence,community,DC Action,,,DC Action (21),30,-39,dc-action,21.0
apma_co-occurrence,community,Australian Pain Management Association,,,Australian Pain Management Association (20),30,-40,apma,20.0
crohnscolitis_co-occurrence,community,Crohn's & Colitis,,,Crohn's & Colitis (6),30,-41,crohnscolitis,6.0
barretts-oesophagus_co-occurrence,community,Barrett's Oesophagus,,,Barrett's Oesophagus (5),30,-42,barretts-oesophagus,5.0
