community_url,label,member_count,Id,type,label_2,longitude,latitude
ansiedad-depresion-apoyo,Apoyo para Ansiedad y Depresion,1286.0,ansiedad-depresion-apoyo_co-occurrence,community,Apoyo para Ansiedad y Depresion (1286),-50,-170.82352941176472
fertility-network-uk-pregnancy,Fertility Network UK - Pregnancy Support,1234.0,fertility-network-uk-pregnancy_co-occurrence,community,Fertility Network UK - Pregnancy Support (1234),-50,-173.41176470588235
hepatitisfoundation,HFI Connect - Hepatitis,1215.0,hepatitisfoundation_co-occurrence,community,HFI Connect - Hepatitis (1215),-50,-176.0
amneasier,AMN EASIER,1185.0,amneasier_co-occurrence,community,AMN EASIER (1185),-50,-178.58823529411765
edsuk,The Ehlers-Danlos Support UK,946.0,edsuk_co-occurrence,community,The Ehlers-Danlos Support UK (946),-50,-181.1764705882353
acoustic-neuroma-support,Acoustic Neuroma Support,940.0,acoustic-neuroma-support_co-occurrence,community,Acoustic Neuroma Support (940),-50,-183.76470588235296
osteoporosis-support,Osteoporosis Support,902.0,osteoporosis-support_co-occurrence,community,Osteoporosis Support (902),-50,-186.3529411764706
leukaemia-support,Leukaemia Support,808.0,leukaemia-support_co-occurrence,community,Leukaemia Support (808),-50,-188.94117647058823
changingfaces,Changing Faces,760.0,changingfaces_co-occurrence,community,Changing Faces (760),-50,-191.52941176470588
hivpartners,HIV Partners,759.0,hivpartners_co-occurrence,community,HIV Partners (759),-50,-194.11764705882354
sca-heart-attack,Sudden Cardiac Arrest & Heart Attack,758.0,sca-heart-attack_co-occurrence,community,Sudden Cardiac Arrest & Heart Attack (758),-50,-196.7058823529412
livingwithasthma,Living with Asthma,751.0,livingwithasthma_co-occurrence,community,Living with Asthma (751),-50,-199.29411764705884
drink-free,Drink Free,685.0,drink-free_co-occurrence,community,Drink Free (685),-50,-201.8823529411765
tourettes-action,Tourettes Action,680.0,tourettes-action_co-occurrence,community,Tourettes Action (680),-50,-204.47058823529412
cmtuk,Charcot-Marie-Tooth UK,667.0,cmtuk_co-occurrence,community,Charcot-Marie-Tooth UK (667),-50,-207.05882352941177
opa-gord,Acid Reflux Support,659.0,opa-gord_co-occurrence,community,Acid Reflux Support (659),-50,-209.64705882352942
fasd-support,FASD Support,636.0,fasd-support_co-occurrence,community,FASD Support (636),-50,-212.23529411764707
fungalinfectiontrust,Aspergillosis and Rare Fungal Infection Support,561.0,fungalinfectiontrust_co-occurrence,community,Aspergillosis and Rare Fungal Infection Support (561),-50,-214.82352941176472
oa-action,Osteoarthritis Action,561.0,oa-action_co-occurrence,community,Osteoarthritis Action (561),-50,-217.41176470588238
menopause-perimenopause-support,Menopause and Perimenopause Support,554.0,menopause-perimenopause-support_co-occurrence,community,Menopause and Perimenopause Support (554),-50,-220.0
